fullmove_number;turn;san;lan;score;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;is_capture_count;attackers_white;attackers_count_white;threatened_pieces_white;threatened_pieces_count_white;guards_white;guards_count_white;guarded_pieces_white;guarded_pieces_count_white;threatened_guarded_pieces_white;threatened_guarded_pieces_count_white;unopposed_threats_white;unopposed_threats_count_white;attackers_black;attackers_count_black;threatened_pieces_black;threatened_pieces_count_black;guards_black;guards_count_black;guarded_pieces_black;guarded_pieces_count_black;threatened_guarded_pieces_black;threatened_guarded_pieces_count_black;unopposed_threats_black;unopposed_threats_count_black;pawn_ending;rook_ending
11;False;Bf8;Be7-f8;90;29;Bf8;74;16;0;False;False;False;30;3;c6, e5, f6;3;d4, e4;2;c1, d1, e1, g1, a2, b2, d2, g2, b3, c3, f3;11;c1, d1, e1, g1, a2, b2, d2, f2, g2, b3, c3, f3, h3, d4, e4;15;e4, d4;2;;0;b3, d4, f3;3;e5, f7;2;a6, c6, d6, f6, b7, c7, g7, a8, d8, e8, f8, g8;12;b5, e5, a6, c6, d6, f6, c7, f7, g7, h7, a8, d8, e8, f8, g8;15;f7, e5;2;;0;False;False
12;True;a4;a2-a4;19;30;Bc2;47;28;1;False;False;False;32;4;b5, c6, e5, f6;4;a4, d4, e4;3;c1, d1, e1, g1, b2, d2, g2, b3, c3, f3;10;c1, d1, e1, g1, b2, d2, f2, g2, b3, c3, f3, h3, a4, d4, e4;15;e4, d4, a4;3;;0;a4, b3, d4, f3;4;b5, e5, f7;3;a6, c6, d6, f6, b7, c7, g7, a8, d8, e8, f8, g8;12;b5, e5, a6, c6, d6, f6, c7, f7, g7, h7, a8, d8, e8, f8, g8;15;f7, e5, b5;3;;0;False;False
12;False;h6;h7-h6;52;32;h6;60;8;0;False;False;False;32;4;b5, c6, e5, f6;4;a4, d4, e4;3;c1, d1, e1, g1, b2, d2, g2, b3, c3, f3;10;c1, d1, e1, g1, b2, d2, f2, g2, b3, c3, f3, h3, a4, d4, e4;15;e4, d4, a4;3;;0;a4, b3, d4, f3;4;b5, e5, f7;3;a6, c6, d6, f6, b7, c7, g7, a8, d8, e8, f8, g8;12;b5, e5, a6, c6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;15;f7, e5, b5;3;;0;False;False
13;True;Bc2;Bb3-c2;15;32;d5;-6;21;1;False;False;False;33;4;b5, c6, e5, f6;4;a4, d4, e4;3;c1, d1, e1, g1, b2, c2, d2, g2, c3, f3;10;c1, d1, e1, g1, b2, c2, d2, f2, g2, c3, f3, h3, a4, d4, e4;15;e4, d4, a4;3;;0;a4, d4, f3;3;b5, e5;2;a6, c6, d6, f6, b7, c7, g7, a8, d8, e8, f8, g8;12;b5, e5, a6, c6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;15;e5, b5;2;;0;False;False
13;False;exd4;e5xd4;57;33;exd4;48;9;0;False;True;False;32;3;b5, d4, e8, f6;4;a4, c3, e4;3;c1, d1, e1, g1, b2, c2, d2, g2, f3;9;c1, d1, e1, g1, b2, c2, d2, f2, g2, c3, f3, h3, a4, e4;14;e4, a4, c3;3;;0;a4, c3, f3;3;b5, d4;2;a6, c6, f6, b7, c7, g7, a8, d8, e8, f8, g8;11;b5, a6, d4, c6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;15;b5, d4;2;;0;False;False
14;True;cxd4;c3xd4;-42;32;Nxd4;10;52;2;False;True;False;35;4;b5, c6, e8, f6;4;a4, d4, e4;3;c1, d1, e1, g1, c2, d2, g2, f3;8;c1, d1, e1, g1, b2, c2, d2, f2, g2, f3, h3, a4, d4, e4;14;e4, d4, a4;3;;0;a4;1;b5;1;a6, c6, f6, b7, c7, g7, a8, d8, e8, f8, g8;11;b5, a6, c6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;14;b5;1;;0;False;False
14;False;Nb4;Nc6-b4;9;35;Nb4;25;16;0;False;False;False;29;1;b5, f6, b7, b4, e8;5;a4, c2, e4;3;c1, d1, e1, g1, c2, d2, g2, f3;8;c1, d1, e1, g1, b2, c2, d2, f2, g2, f3, h3, a4, d4, e4;14;e4, a4, c2;3;;0;a4;1;b5;1;a6, f6, b7, c7, g7, a8, b4, d8, e8, f8, g8;11;b5, a6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;13;b5;1;;0;False;False
15;True;Bb1;Bc2-b1;-21;29;Bb1;2;23;0;False;False;False;37;4;b7, e8, f6, b5;4;a4, e4;2;b1, c1, d1, e1, g1, d2, g2, f3;8;b1, c1, d1, e1, g1, b2, d2, f2, g2, f3, h3, a4, d4, e4;14;e4, a4;2;;0;a4;1;b5;1;a6, f6, b7, c7, g7, a8, b4, d8, e8, f8, g8;11;b5, a6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;13;b5;1;;0;False;False
15;False;c5;c7-c5;64;37;Rc8;34;30;1;False;False;False;30;2;b5, c5, f6, b7, e8;5;a4, d4, e4;3;b1, c1, d1, e1, g1, d2, g2, f3;8;b1, c1, d1, e1, g1, b2, d2, f2, g2, f3, h3, a4, d4, e4;14;e4, d4, a4;3;;0;a4, d4;2;b5, c5;2;c5, a6, d6, f6, b7, g7, a8, b4, d8, e8, f8, g8;12;b5, c5, a6, d6, f6, h6, f7, g7, a8, b4, d8, e8, f8, g8;14;c5, b5;2;;0;False;False
16;True;d5;d4-d5;32;30;d5;13;19;0;False;False;False;37;6;b5, f6, b7, b4, e8;5;a4, d5, e4;3;b1, c1, d1, e1, g1, d2, g2, f3, e4;9;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, f3, h3, a4, e4;14;d5, e4, a4;3;;0;a4;1;b5;1;c5, a6, d6, f6, b7, g7, a8, b4, d8, e8, f8, g8;12;b5, c5, a6, d6, f6, h6, f7, g7, a8, b4, d8, e8, f8, g8;14;b5;1;;0;False;False
