fullmove_number;turn;san;lan;score;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;is_capture_count;attackers;attackers_count;threatened_pieces;threatened_pieces_count;guards;guards_count;guarded_pieces;guarded_pieces_count;threatened_guarded_pieces;threatened_guarded_pieces_count;unopposed_threats;unopposed_threats_count;pawn_ending;rook_ending
1;True;e4;e2-e4;47;20;e4;12;35;0;False;False;False;20;0;;0;;0;a8, b8, c8, d8, e8, f8, g8, h8;8;a7, b7, c7, d7, e7, f7, g7, h7, b8, c8, d8, e8, f8, g8;14;;0;;0;False;False
1;False;e5;e7-e5;67;20;e6;68;1;1;False;False;False;29;0;;0;;0;a1, b1, c1, d1, e1, f1, h1;7;b1, c1, d1, e1, f1, g1, a2, b2, c2, d2, f2, g2, h2;13;;0;;0;False;False
2;True;Nf3;Ng1-f3;42;29;Nf3;46;4;0;False;False;False;29;0;f3;1;e5;1;a8, b8, c8, d8, e8, f8, h8;7;a7, b7, c7, d7, f7, g7, h7, b8, c8, d8, e8, f8, g8;13;;0;e5;0;False;False
2;False;Nc6;Nb8-c6;101;29;Nc6;79;22;0;False;False;False;27;1;;0;;0;a1, b1, c1, d1, e1, f1, h1, g2, f3;9;b1, c1, d1, e1, f1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;;0;False;False
3;True;Bb5;Bf1-b5;77;27;Bb5;33;44;2;False;False;False;30;0;b5, f3;2;c6, e5;2;c6, b7, d7, a8, c8, d8, e8, f8, h8;9;e5, c6, a7, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;c6, e5;2;;0;False;False
3;False;a6;a7-a6;78;30;a6;60;18;0;False;False;False;32;3;a6;1;b5;1;a1, b1, c1, d1, e1, h1, g2, f3;8;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;b5;0;False;False
4;True;Ba4;Bb5-a4;34;32;Ba4;32;2;0;False;False;False;32;0;a4, f3;2;c6, e5;2;c6, b7, d7, a8, c8, d8, e8, f8, h8;9;e5, a6, c6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8, g8;14;c6, e5;2;;0;False;False
4;False;Nf6;Ng8-f6;79;32;Be7;71;8;1;False;False;False;27;2;f6;1;e4;1;a1, b1, c1, d1, e1, h1, g2, f3, a4;9;b1, c1, d1, e1, a2, b2, c2, d2, f2, h2, f3;11;;0;e4;0;False;False
5;True;O-O;O-O;-19;27;d3;25;44;2;False;False;True;30;1;a4, f3;2;c6, e5;2;c6, f6, b7, d7, g7, a8, c8, d8, e8, f8, h8;11;e5, a6, c6, f6, b7, c7, d7, f7, g7, h7, c8, d8, e8, f8;14;c6, e5;2;;0;False;False
5;False;Be7;Bf8-e7;99;30;Nxe4;55;44;2;False;False;False;25;2;f6;1;e4;1;a1, b1, c1, d1, f1, g1, g2, f3, a4;9;b1, c1, d1, f1, g1, a2, b2, c2, d2, f2, g2, h2, f3;13;;0;e4;0;False;False
6;True;Re1;Rf1-e1;11;25;Bxc6;43;32;1;False;False;False;30;1;a4, f3;2;c6, e5;2;c6, f6, b7, d7, e7, g7, a8, c8, d8, e8, h8;11;e5, a6, c6, f6, b7, c7, d7, e7, f7, h7, c8, d8, e8;13;c6, e5;2;;0;False;False
6;False;b5;b7-b5;58;30;d6;65;7;1;False;False;False;25;2;b5, f6;2;a4, e4;2;a1, b1, c1, d1, e1, g1, g2, f3, a4;9;b1, c1, d1, e1, g1, a2, b2, c2, d2, f2, g2, h2, f3, e4;14;e4;1;a4;0;False;False
7;True;Bb3;Ba4-b3;50;25;Bb3;-11;61;2;False;False;False;30;1;b3, f3;2;e5, f7;2;a6, c6, f6, d7, e7, g7, a8, c8, d8, e8, h8;11;b5, e5, a6, c6, f6, c7, d7, e7, h7, c8, d8, e8;12;e5;1;f7;0;False;False
7;False;d6;d7-d6;60;30;d6;46;14;0;False;False;False;27;2;f6;1;e4;1;a1, b1, c1, d1, e1, g1, a2, c2, g2, b3, f3;11;b1, c1, d1, e1, g1, a2, b2, c2, d2, f2, g2, h2, b3, f3, e4;15;e4;1;;0;False;False
8;True;c3;c2-c3;22;27;c3;20;2;0;False;False;False;33;1;b3, f3;2;e5, f7;2;a6, c6, d6, f6, c7, e7, g7, a8, c8, d8, e8, h8;12;b5, e5, a6, d6, f6, c7, e7, h7, c8, d8, e8;11;e5;1;f7;0;False;False
8;False;O-O;O-O;50;33;O-O;62;12;0;False;False;True;27;2;f6;1;e4;1;a1, b1, c1, d1, e1, g1, a2, b2, d2, g2, b3, f3;12;b1, c1, d1, e1, g1, a2, b2, d2, f2, g2, h2, b3, c3, f3, e4;15;e4;1;;0;False;False
9;True;h3;h2-h3;16;27;h3;17;1;0;False;False;False;30;2;b3, f3;2;e5, f7;2;a6, c6, d6, f6, c7, e7, g7, a8, c8, d8, f8, g8;12;b5, e5, a6, d6, f6, c7, e7, f7, g7, h7, c8, d8, f8, g8;14;f7, e5;2;;0;False;False
9;False;Bb7;Bc8-b7;43;30;Bb7;50;7;0;False;False;False;28;2;f6;1;e4;1;a1, b1, c1, d1, e1, g1, a2, b2, d2, g2, b3, f3;12;b1, c1, d1, e1, g1, a2, b2, d2, f2, g2, b3, c3, f3, h3, e4;15;e4;1;;0;False;False
10;True;d4;d2-d4;36;28;d3;30;6;1;False;False;False;29;3;b3, d4, f3;3;e5, f7;2;a6, c6, d6, f6, b7, c7, e7, g7, a8, d8, f8, g8;12;b5, e5, a6, c6, d6, f6, c7, e7, f7, g7, h7, a8, d8, f8, g8;15;f7, e5;2;;0;False;False
10;False;Re8;Rf8-e8;73;29;Kh8;90;17;1;False;False;False;36;3;c6, e5, f6;3;d4, e4;2;a1, b1, c1, d1, e1, g1, a2, b2, g2, b3, c3, f3;12;b1, c1, d1, e1, g1, a2, b2, f2, g2, b3, c3, f3, h3, d4, e4;15;e4, d4;2;;0;False;False
11;True;Nbd2;Nb1-d2;36;36;Ng5;32;4;1;False;False;False;29;3;b3, d4, f3;3;e5, f7;2;a6, c6, d6, f6, b7, c7, e7, g7, a8, d8, e8, g8;12;b5, e5, a6, c6, d6, f6, c7, e7, g7, h7, a8, d8, e8, g8;14;e5;1;f7;0;False;False
11;False;Bf8;Be7-f8;98;29;Na5;74;24;1;False;False;False;30;3;c6, e5, f6;3;d4, e4;2;a1, c1, d1, e1, g1, a2, b2, d2, g2, b3, c3, f3;12;c1, d1, e1, g1, a2, b2, d2, f2, g2, b3, c3, f3, h3, d4, e4;15;e4, d4;2;;0;False;False
12;True;a4;a2-a4;15;30;Bc2;37;22;1;False;False;False;32;4;a4, b3, d4, f3;4;b5, e5, f7;3;a6, c6, d6, f6, b7, c7, g7, a8, d8, e8, f8, g8;12;b5, e5, a6, c6, d6, f6, c7, g7, h7, a8, d8, e8, f8, g8;14;e5, b5;2;f7;0;False;False
12;False;h6;h7-h6;72;32;h6;48;24;0;False;False;False;32;4;b5, c6, e5, f6;4;a4, d4, e4;3;a1, c1, d1, e1, g1, b2, d2, g2, b3, c3, f3;11;c1, d1, e1, g1, b2, d2, f2, g2, b3, c3, f3, h3, a4, d4, e4;15;e4, d4, a4;3;;0;False;False
